class,coverage,stride,accuracy,n_samples
BasketballDunk,100,1,1.0,33
BenchPress,100,1,1.0,89
Biking,100,1,0.95092,163
Billiards,100,1,0.987069,232
BlowDryHair,100,1,0.666667,99
BlowingCandles,100,1,0.918367,49
BodyWeightSquats,100,1,0.571429,63
Bowling,100,1,0.965909,88
BoxingPunchingBag,100,1,0.677966,177
BoxingSpeedBag,100,1,0.677852,149
BreastStroke,100,1,0.965517,87
BrushingTeeth,100,1,0.424242,198
CleanAndJerk,100,1,0.899083,109
CliffDiving,100,1,0.934783,46
CricketBowling,100,1,0.492537,67
CricketShot,100,1,0.43662,71
CuttingInKitchen,100,1,1.0,102
Diving,100,1,0.992806,139
Drumming,100,1,0.983122,237
Fencing,100,1,0.958333,72
FieldHockeyPenalty,100,1,0.828571,70
FloorGymnastics,100,1,0.719101,89
FrisbeeCatch,100,1,0.9375,48
FrontCrawl,100,1,0.11811,127
GolfSwing,100,1,0.963636,110
Haircut,100,1,0.596774,62
HammerThrow,100,1,0.5,146
Hammering,100,1,0.636364,55
HandstandPushups,100,1,0.722222,54
HandstandWalking,100,1,0.426966,89
HeadMassage,100,1,0.936782,174
HighJump,100,1,0.364865,74
HorseRace,100,1,0.923729,118
HorseRiding,100,1,0.986755,151
HulaHoop,100,1,0.894737,57
IceDancing,100,1,0.936585,205
JavelinThrow,100,1,0.777778,54
JugglingBalls,100,1,0.923497,183
JumpRope,100,1,0.772436,312
JumpingJack,100,1,0.923077,39
Kayaking,100,1,0.947368,114
Knitting,100,1,1.0,138
LongJump,100,1,0.611111,72
Lunges,100,1,0.65625,160
MilitaryParade,100,1,1.0,62
Mixing,100,1,0.894737,95
MoppingFloor,100,1,0.8,115
Nunchucks,100,1,0.627329,161
ParallelBars,100,1,0.827586,87
PizzaTossing,100,1,0.813559,59
PlayingCello,100,1,0.895425,153
PlayingDaf,100,1,0.990783,217
PlayingDhol,100,1,0.928328,293
PlayingFlute,100,1,0.977273,220
PlayingGuitar,100,1,0.995261,211
PlayingPiano,100,1,0.991071,112
PlayingSitar,100,1,0.892308,260
PlayingTabla,100,1,0.993506,154
PlayingViolin,100,1,0.946809,94
PoleVault,100,1,0.788732,142
PommelHorse,100,1,0.917391,230
PullUps,100,1,0.707692,65
Punch,100,1,0.982456,171
PushUps,100,1,0.904762,42
Rafting,100,1,0.666667,96
RockClimbingIndoor,100,1,0.910448,335
RopeClimbing,100,1,0.92233,103
Rowing,100,1,0.995726,234
SalsaSpin,100,1,0.925287,174
ShavingBeard,100,1,0.717949,195
Shotput,100,1,0.305085,59
SkateBoarding,100,1,0.914634,82
Skiing,100,1,0.826347,167
Skijet,100,1,1.0,140
SkyDiving,100,1,0.963855,83
SoccerJuggling,100,1,0.765217,230
SoccerPenalty,100,1,0.842105,57
StillRings,100,1,0.843373,83
SumoWrestling,100,1,0.925,120
Surfing,100,1,0.894737,114
Swing,100,1,0.84375,128
TableTennisShot,100,1,0.99,100
TaiChi,100,1,0.75,84
TennisSwing,100,1,0.94898,98
ThrowDiscus,100,1,0.877193,57
TrampolineJumping,100,1,0.971223,139
Typing,100,1,0.959732,149
UnevenBars,100,1,0.9375,64
VolleyballSpiking,100,1,1.0,52
WalkingWithDog,100,1,0.829457,129
WallPushups,100,1,0.684211,57
WritingOnBoard,100,1,1.0,105
YoYo,100,1,0.733945,109
ApplyEyeMakeup,10,2,0.898438,128
ApplyLipstick,10,2,0.920354,113
Archery,10,2,0.771429,105
BabyCrawling,10,2,0.919643,112
BalanceBeam,10,2,0.777778,63
BandMarching,10,2,0.685039,127
BaseballPitch,10,2,0.741379,58
Basketball,10,2,0.890625,64
BasketballDunk,10,2,0.969697,33
BenchPress,10,2,0.988764,89
Biking,10,2,0.822086,163
Billiards,10,2,0.982759,232
BlowDryHair,10,2,0.525253,99
BlowingCandles,10,2,0.897959,49
BodyWeightSquats,10,2,0.222222,63
Bowling,10,2,0.965909,88
BoxingPunchingBag,10,2,0.39548,177
BoxingSpeedBag,10,2,0.66443,149
BreastStroke,10,2,0.850575,87
BrushingTeeth,10,2,0.217172,198
CleanAndJerk,10,2,0.59633,109
CliffDiving,10,2,0.608696,46
CricketBowling,10,2,0.567164,67
CricketShot,10,2,0.521127,71
CuttingInKitchen,10,2,1.0,102
Diving,10,2,1.0,139
Drumming,10,2,0.890295,237
Fencing,10,2,0.916667,72
FieldHockeyPenalty,10,2,0.914286,70
FloorGymnastics,10,2,0.41573,89
FrisbeeCatch,10,2,0.604167,48
FrontCrawl,10,2,0.259843,127
GolfSwing,10,2,0.909091,110
Haircut,10,2,0.580645,62
HammerThrow,10,2,0.554795,146
Hammering,10,2,0.727273,55
HandstandPushups,10,2,0.87037,54
HandstandWalking,10,2,0.179775,89
HeadMassage,10,2,0.856322,174
HighJump,10,2,0.040541,74
HorseRace,10,2,0.813559,118
HorseRiding,10,2,0.913907,151
HulaHoop,10,2,0.894737,57
IceDancing,10,2,0.873171,205
JavelinThrow,10,2,0.592593,54
JugglingBalls,10,2,0.857923,183
JumpRope,10,2,0.74359,312
JumpingJack,10,2,0.564103,39
Kayaking,10,2,0.912281,114
Knitting,10,2,0.956522,138
LongJump,10,2,0.555556,72
Lunges,10,2,0.425,160
MilitaryParade,10,2,1.0,62
Mixing,10,2,0.852632,95
MoppingFloor,10,2,0.356522,115
Nunchucks,10,2,0.397516,161
ParallelBars,10,2,0.804598,87
PizzaTossing,10,2,0.491525,59
PlayingCello,10,2,0.901961,153
PlayingDaf,10,2,0.976959,217
PlayingDhol,10,2,0.94198,293
PlayingFlute,10,2,0.913636,220
PlayingGuitar,10,2,0.966825,211
PlayingPiano,10,2,1.0,112
PlayingSitar,10,2,0.95,260
PlayingTabla,10,2,0.987013,154
PlayingViolin,10,2,0.893617,94
PoleVault,10,2,0.570423,142
PommelHorse,10,2,0.852174,230
PullUps,10,2,0.769231,65
Punch,10,2,0.947368,171
PushUps,10,2,0.857143,42
Rafting,10,2,0.729167,96
RockClimbingIndoor,10,2,0.949254,335
RopeClimbing,10,2,0.747573,103
Rowing,10,2,0.944444,234
SalsaSpin,10,2,0.408046,174
ShavingBeard,10,2,0.651282,195
Shotput,10,2,0.355932,59
SkateBoarding,10,2,0.621951,82
Skiing,10,2,0.628743,167
Skijet,10,2,0.957143,140
SkyDiving,10,2,0.879518,83
SoccerJuggling,10,2,0.478261,230
SoccerPenalty,10,2,0.929825,57
StillRings,10,2,0.939759,83
SumoWrestling,10,2,0.85,120
Surfing,10,2,0.912281,114
Swing,10,2,0.585938,128
TableTennisShot,10,2,1.0,100
TaiChi,10,2,0.809524,84
TennisSwing,10,2,0.867347,98
ThrowDiscus,10,2,0.684211,57
TrampolineJumping,10,2,0.877698,139
Typing,10,2,0.973154,149
UnevenBars,10,2,0.84375,64
VolleyballSpiking,10,2,0.923077,52
WalkingWithDog,10,2,0.651163,129
WallPushups,10,2,0.859649,57
WritingOnBoard,10,2,0.990476,105
YoYo,10,2,0.422018,109
ApplyEyeMakeup,25,2,0.90625,128
ApplyLipstick,25,2,0.929204,113
Archery,25,2,0.838095,105
BabyCrawling,25,2,0.9375,112
BalanceBeam,25,2,0.746032,63
BandMarching,25,2,0.708661,127
BaseballPitch,25,2,0.741379,58
Basketball,25,2,0.875,64
BasketballDunk,25,2,0.969697,33
BenchPress,25,2,1.0,89
Biking,25,2,0.865031,163
Billiards,25,2,0.982759,232
BlowDryHair,25,2,0.555556,99
BlowingCandles,25,2,0.897959,49
BodyWeightSquats,25,2,0.253968,63
Bowling,25,2,0.965909,88
BoxingPunchingBag,25,2,0.468927,177
BoxingSpeedBag,25,2,0.66443,149
BreastStroke,25,2,0.873563,87
BrushingTeeth,25,2,0.222222,198
CleanAndJerk,25,2,0.633028,109
CliffDiving,25,2,0.608696,46
CricketBowling,25,2,0.522388,67
CricketShot,25,2,0.549296,71
CuttingInKitchen,25,2,1.0,102
Diving,25,2,1.0,139
Drumming,25,2,0.881857,237
Fencing,25,2,0.888889,72
FieldHockeyPenalty,25,2,0.914286,70
FloorGymnastics,25,2,0.47191,89
FrisbeeCatch,25,2,0.666667,48
FrontCrawl,25,2,0.244094,127
GolfSwing,25,2,0.909091,110
Haircut,25,2,0.612903,62
HammerThrow,25,2,0.561644,146
Hammering,25,2,0.745455,55
HandstandPushups,25,2,0.87037,54
HandstandWalking,25,2,0.213483,89
HeadMassage,25,2,0.867816,174
HighJump,25,2,0.067568,74
HorseRace,25,2,0.822034,118
HorseRiding,25,2,0.94702,151
HulaHoop,25,2,0.929825,57
IceDancing,25,2,0.878049,205
JavelinThrow,25,2,0.611111,54
JugglingBalls,25,2,0.885246,183
JumpRope,25,2,0.759615,312
JumpingJack,25,2,0.615385,39
Kayaking,25,2,0.929825,114
Knitting,25,2,0.971014,138
LongJump,25,2,0.555556,72
Lunges,25,2,0.4875,160
MilitaryParade,25,2,1.0,62
Mixing,25,2,0.852632,95
MoppingFloor,25,2,0.469565,115
Nunchucks,25,2,0.42236,161
ParallelBars,25,2,0.804598,87
PizzaTossing,25,2,0.59322,59
PlayingCello,25,2,0.908497,153
PlayingDaf,25,2,0.976959,217
PlayingDhol,25,2,0.969283,293
PlayingFlute,25,2,0.927273,220
PlayingGuitar,25,2,0.966825,211
PlayingPiano,25,2,0.991071,112
PlayingSitar,25,2,0.95,260
PlayingTabla,25,2,1.0,154
PlayingViolin,25,2,0.925532,94
PoleVault,25,2,0.577465,142
PommelHorse,25,2,0.878261,230
PullUps,25,2,0.784615,65
Punch,25,2,0.947368,171
PushUps,25,2,0.857143,42
Rafting,25,2,0.729167,96
RockClimbingIndoor,25,2,0.955224,335
RopeClimbing,25,2,0.815534,103
Rowing,25,2,0.961538,234
SalsaSpin,25,2,0.557471,174
ShavingBeard,25,2,0.651282,195
Shotput,25,2,0.355932,59
SkateBoarding,25,2,0.707317,82
Skiing,25,2,0.682635,167
Skijet,25,2,0.971429,140
SkyDiving,25,2,0.927711,83
SoccerJuggling,25,2,0.517391,230
SoccerPenalty,25,2,0.929825,57
StillRings,25,2,0.939759,83
SumoWrestling,25,2,0.875,120
Surfing,25,2,0.929825,114
Swing,25,2,0.679688,128
TableTennisShot,25,2,1.0,100
TaiChi,25,2,0.833333,84
TennisSwing,25,2,0.897959,98
ThrowDiscus,25,2,0.684211,57
TrampolineJumping,25,2,0.884892,139
Typing,25,2,0.973154,149
UnevenBars,25,2,0.875,64
VolleyballSpiking,25,2,0.923077,52
WalkingWithDog,25,2,0.682171,129
WallPushups,25,2,0.859649,57
WritingOnBoard,25,2,1.0,105
YoYo,25,2,0.46789,109
ApplyEyeMakeup,50,2,0.929688,128
ApplyLipstick,50,2,0.902655,113
Archery,50,2,0.895238,105
BabyCrawling,50,2,0.964286,112
BalanceBeam,50,2,0.746032,63
BandMarching,50,2,0.692913,127
BaseballPitch,50,2,0.775862,58
Basketball,50,2,0.890625,64
BasketballDunk,50,2,0.969697,33
BenchPress,50,2,1.0,89
Biking,50,2,0.92638,163
Billiards,50,2,0.978448,232
BlowDryHair,50,2,0.656566,99
BlowingCandles,50,2,0.938776,49
BodyWeightSquats,50,2,0.428571,63
Bowling,50,2,0.965909,88
BoxingPunchingBag,50,2,0.615819,177
BoxingSpeedBag,50,2,0.691275,149
BreastStroke,50,2,0.931034,87
BrushingTeeth,50,2,0.348485,198
CleanAndJerk,50,2,0.87156,109
CliffDiving,50,2,0.804348,46
CricketBowling,50,2,0.507463,67
CricketShot,50,2,0.549296,71
CuttingInKitchen,50,2,1.0,102
Diving,50,2,1.0,139
Drumming,50,2,0.974684,237
Fencing,50,2,0.944444,72
FieldHockeyPenalty,50,2,0.885714,70
FloorGymnastics,50,2,0.674157,89
FrisbeeCatch,50,2,0.833333,48
FrontCrawl,50,2,0.141732,127
GolfSwing,50,2,0.954545,110
Haircut,50,2,0.629032,62
HammerThrow,50,2,0.547945,146
Hammering,50,2,0.672727,55
HandstandPushups,50,2,0.851852,54
HandstandWalking,50,2,0.370787,89
HeadMassage,50,2,0.936782,174
HighJump,50,2,0.189189,74
HorseRace,50,2,0.872881,118
HorseRiding,50,2,0.97351,151
HulaHoop,50,2,0.929825,57
IceDancing,50,2,0.907317,205
JavelinThrow,50,2,0.796296,54
JugglingBalls,50,2,0.934426,183
JumpRope,50,2,0.798077,312
JumpingJack,50,2,0.948718,39
Kayaking,50,2,0.947368,114
Knitting,50,2,0.978261,138
LongJump,50,2,0.583333,72
Lunges,50,2,0.625,160
MilitaryParade,50,2,1.0,62
Mixing,50,2,0.905263,95
MoppingFloor,50,2,0.713043,115
Nunchucks,50,2,0.608696,161
ParallelBars,50,2,0.850575,87
PizzaTossing,50,2,0.762712,59
PlayingCello,50,2,0.934641,153
PlayingDaf,50,2,0.981567,217
PlayingDhol,50,2,0.924915,293
PlayingFlute,50,2,0.963636,220
PlayingGuitar,50,2,0.985782,211
PlayingPiano,50,2,1.0,112
PlayingSitar,50,2,0.946154,260
