class,coverage,stride,accuracy,n_samples
BodyWeightSquats,75,1,0.9004149377593361,241
Bowling,75,1,0.9871794871794872,312
BoxingPunchingBag,75,1,0.9909420289855072,552
BoxingSpeedBag,75,1,0.9982456140350876,570
BreastStroke,75,1,0.9558359621451104,317
BrushingTeeth,75,1,0.821247892074199,593
CleanAndJerk,75,1,0.967391304347826,368
CliffDiving,75,1,0.9005847953216374,171
CricketBowling,75,1,0.9509803921568628,204
CricketShot,75,1,0.9194915254237288,236
CuttingInKitchen,75,1,0.9876160990712074,323
Diving,75,1,0.960352422907489,454
Drumming,75,1,0.993485342019544,921
Fencing,75,1,0.9782608695652174,230
FieldHockeyPenalty,75,1,0.9828326180257512,233
FloorGymnastics,75,1,0.7967741935483871,310
FrisbeeCatch,75,1,0.8742857142857143,175
FrontCrawl,75,1,0.9724310776942356,399
GolfSwing,75,1,0.9948186528497408,386
Haircut,75,1,0.887434554973822,382
HammerThrow,75,1,0.8853932584269663,445
Hammering,75,1,0.96,300
HandstandPushups,75,1,0.9958677685950412,242
HandstandWalking,75,1,0.903125,320
HeadMassage,75,1,0.9635974304068522,467
HighJump,75,1,0.3627906976744186,215
HorseRace,75,1,0.9147826086956522,575
HorseRiding,75,1,0.981981981981982,555
HulaHoop,75,1,0.979381443298969,194
IceDancing,75,1,0.9323204419889504,724
JavelinThrow,75,1,0.9060773480662984,181
JugglingBalls,75,1,0.9744058500914076,547
JumpRope,75,1,0.8811715481171548,1195
JumpingJack,75,1,0.9548872180451128,133
Kayaking,75,1,0.9409448818897638,508
Knitting,75,1,0.9934640522875816,459
LongJump,75,1,0.2604166666666667,288
Lunges,75,1,0.8538899430740038,527
MilitaryParade,75,1,0.9717741935483872,248
Mixing,75,1,0.9847328244274808,262
MoppingFloor,75,1,0.8725,400
Nunchucks,75,1,0.6432432432432432,555
ParallelBars,75,1,0.8475836431226765,269
PizzaTossing,75,1,0.945945945945946,222
PlayingCello,75,1,0.9955555555555556,675
PlayingDaf,75,1,0.9876237623762376,808
PlayingDhol,75,1,0.998868778280543,884
PlayingFlute,75,1,0.9815303430079156,758
PlayingGuitar,75,1,0.9987437185929648,796
PlayingPiano,75,1,0.9928571428571428,420
PlayingSitar,75,1,1.0,1056
PlayingTabla,75,1,0.9890310786106032,547
PlayingViolin,75,1,0.9968354430379748,316
PoleVault,75,1,0.6752336448598131,428
PommelHorse,75,1,0.9872448979591836,784
PullUps,75,1,0.9464285714285714,224
Punch,75,1,0.9609004739336492,844
PushUps,75,1,0.991869918699187,123
Rafting,75,1,0.6935483870967742,372
RockClimbingIndoor,75,1,0.95357833655706,1034
RopeClimbing,75,1,0.9487179487179488,351
Rowing,75,1,0.9678571428571427,840
